album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
7d3d3121-9545-560e-8668-ec7e4ae5abf0,Yaad Karoge Humen Tum Yaad Karoge,1955,"Hindi, Non Film",Ravi Shankar Sharma,Hasrat Jaipuri,Saregama,3.0
6bd2c5c2-ff99-53ec-ad07-c7d18c210c60,Yasmin,1955,"Hindi, Film",C. Ramchandra,"Jan Nisar Akhtar, Tanveer Naqvi",H.M.V.,3.0
de603971-83fd-5117-93d9-8e3eae7c7196,Zamana Kya Kahega,1955,"Hindi, Non Film",Ravi Shankar Sharma,Ravi Shankar Sharma,Saregama,0
ed04c098-fbeb-5aec-831d-d5627f6f9f4a,26th January (Bharti),1956,"Hindi, Film",C. Ramchandra,Rajendra Krishan,H.M.V.,0
017b82cd-da83-52c8-83e2-6b9ca1a34651,Aabroo,1956,"Hindi, Film",Bulo C. Rani,"D.N. Madhok, Raja Mehdi Ali Khan, Gopal Singh Nepali",H.M.V.,0
e6a3315b-5c49-5717-8450-6980270da46b,Aan Baan,1956,"Hindi, Film",Husnlal - Bhagatram,Qamar Jalalabadi,H.M.V.,0
94ef4909-e766-5a33-ab01-1179274a8d63,Aankh Ka Nasha,1956,"Hindi, Film",Dhaniram,Harsh,H.M.V.,0
b8033bd1-6590-5f26-b0b1-c9fbc89c239b,Aawaz,1956,"Hindi, Film",Salil Chowdhury,"Shailendra, Zia Sarhadi, Prem Dhawan, Vishwamitra Adil",H.M.V.,0
17464abf-2b5a-5b8d-a4d8-8dad73a7c67f,Alam Ara,1956,"Hindi, Film",A.R. Qureshi,Shewan Rizvi,H.M.V.,0
7c5cfd75-df70-524c-8139-0371d42af999,Anjaan,1956,"Hindi, Film",Hemant Kumar,Rajendra Krishan,H.M.V.,3.0
94ee5dd2-f98a-52b0-adc0-480c1a85dc17,Anuraag,1956,"Hindi, Film",Mukesh,"Indeevar, Kaif Irfani",H.M.V.,3.0
01d3143a-8dd6-54d0-8005-087ab853c15f,Arab Ka Saudagar,1956,"Hindi, Film",Hemant Kumar,"S.H. Bihari, Ravi",H.M.V.,3.67
cf480e2d-6223-5043-97a9-a88e8e40426a,Astik,1956,"Hindi, Film",Narayan,S.P. Kalla,H.M.V.,0
